X,Y,nnb_z
167.31081999999998,-45.656113,3.0
167.41081999999997,-45.656113,3.0
167.51081999999997,-45.656113,3.0
167.61081999999996,-45.656113,3.0
167.71081999999996,-45.656113,3.0
167.81081999999995,-45.656113,3.0
167.91081999999994,-45.656113,3.0
168.01081999999994,-45.656113,3.0
168.11081999999993,-45.656113,3.0
168.21081999999993,-45.656113,3.0
168.31081999999992,-45.656113,3.0
168.41081999999992,-45.656113,3.0
168.5108199999999,-45.656113,3.0
168.6108199999999,-45.656113,3.0
168.7108199999999,-45.656113,3.0
168.8108199999999,-45.656113,3.0
168.9108199999999,-45.656113,3.0
169.01081999999988,-45.656113,3.0
169.11081999999988,-45.656113,3.0
169.21081999999987,-45.656113,3.0
169.31081999999986,-45.656113,3.0
169.41081999999986,-45.656113,3.0
169.51081999999985,-45.656113,3.0
169.61081999999985,-45.656113,1.0
169.71081999999984,-45.656113,2.0
169.81081999999984,-45.656113,2.0
169.91081999999983,-45.656113,2.0
170.01081999999982,-45.656113,2.0
170.11081999999982,-45.656113,2.0
170.2108199999998,-45.656113,2.0
170.3108199999998,-45.656113,2.0
170.4108199999998,-45.656113,2.0
170.5108199999998,-45.656113,2.0
170.6108199999998,-45.656113,2.0
170.71081999999979,-45.656113,2.0
170.81081999999978,-45.656113,2.0
170.91081999999977,-45.656113,2.0
171.01081999999977,-45.656113,2.0
171.11081999999976,-45.656113,2.0
171.21081999999976,-45.656113,2.0
171.31081999999975,-45.656113,2.0
171.41081999999975,-45.656113,2.0
171.51081999999974,-45.656113,2.0
171.61081999999973,-45.656113,2.0
171.71081999999973,-45.656113,2.0
171.81081999999972,-45.656113,2.0
171.91081999999972,-45.656113,2.0
172.0108199999997,-45.656113,1.0
172.1108199999997,-45.656113,1.0
172.2108199999997,-45.656113,1.0
172.3108199999997,-45.656113,1.0
172.4108199999997,-45.656113,1.0
172.51081999999968,-45.656113,1.0
172.61081999999968,-45.656113,1.0
172.71081999999967,-45.656113,1.0
167.31081999999998,-45.556112999999996,3.0
167.41081999999997,-45.556112999999996,3.0
167.51081999999997,-45.556112999999996,3.0
167.61081999999996,-45.556112999999996,3.0
167.71081999999996,-45.556112999999996,3.0
167.81081999999995,-45.556112999999996,3.0
167.91081999999994,-45.556112999999996,3.0
168.01081999999994,-45.556112999999996,3.0
168.11081999999993,-45.556112999999996,3.0
168.21081999999993,-45.556112999999996,3.0
168.31081999999992,-45.556112999999996,3.0
168.41081999999992,-45.556112999999996,3.0
168.5108199999999,-45.556112999999996,3.0
168.6108199999999,-45.556112999999996,3.0
168.7108199999999,-45.556112999999996,3.0
168.8108199999999,-45.556112999999996,3.0
168.9108199999999,-45.556112999999996,3.0
169.01081999999988,-45.556112999999996,3.0
169.11081999999988,-45.556112999999996,3.0
169.21081999999987,-45.556112999999996,3.0
169.31081999999986,-45.556112999999996,3.0
169.41081999999986,-45.556112999999996,3.0
169.51081999999985,-45.556112999999996,1.0
169.61081999999985,-45.556112999999996,2.0
169.71081999999984,-45.556112999999996,2.0
169.81081999999984,-45.556112999999996,2.0
169.91081999999983,-45.556112999999996,2.0
170.01081999999982,-45.556112999999996,2.0
170.11081999999982,-45.556112999999996,2.0
170.2108199999998,-45.556112999999996,2.0
170.3108199999998,-45.556112999999996,2.0
170.4108199999998,-45.556112999999996,2.0
170.5108199999998,-45.556112999999996,2.0
170.6108199999998,-45.556112999999996,2.0
170.71081999999979,-45.556112999999996,2.0
170.81081999999978,-45.556112999999996,2.0
170.91081999999977,-45.556112999999996,2.0
171.01081999999977,-45.556112999999996,2.0
171.11081999999976,-45.556112999999996,2.0
171.21081999999976,-45.556112999999996,2.0
171.31081999999975,-45.556112999999996,2.0
171.41081999999975,-45.556112999999996,2.0
171.51081999999974,-45.556112999999996,2.0
171.61081999999973,-45.556112999999996,2.0
171.71081999999973,-45.556112999999996,2.0
