gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
1453508746	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://naturewatch.org.nz/observations/5307932	Animalia	Chordata	Aves	Passeriformes	Acanthisittidae	Xenicus	Xenicus gilviventris		SPECIES	Xenicus gilviventris Pelzeln, 1867	Xenicus gilviventris		NZ		Canterbury	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-42.568007	172.14349	10.0						2017-02-18T13:11	18	2	2017	2484583	2484583	HUMAN_OBSERVATION	iNaturalist	Observations	5307932		Kerry Weston	2017-03-14T21:49:59	CC_BY_NC_4_0	Kerry Weston	Kerry Weston			2024-09-21T09:11:54.764Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
1453450218	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://naturewatch.org.nz/observations/5159814	Animalia	Chordata	Aves	Passeriformes	Acanthisittidae	Xenicus	Xenicus gilviventris		SPECIES	Xenicus gilviventris Pelzeln, 1867	Xenicus gilviventris		NZ		Southland	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-44.765	167.561667	1106.0						2017-02-16	16	2	2017	2484583	2484583	HUMAN_OBSERVATION	iNaturalist	Observations	5159814		Rowan Hindmarsh-Walls	2017-02-23T07:32:36	CC_BY_NC_4_0	Rowan Hindmarsh-Walls	Rowan Hindmarsh-Walls			2024-09-21T09:11:21.968Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
1453440701	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://naturewatch.org.nz/observations/5138583	Animalia	Chordata	Aves	Passeriformes	Acanthisittidae	Xenicus	Xenicus gilviventris		SPECIES	Xenicus gilviventris Pelzeln, 1867	Xenicus gilviventris		NZ		Canterbury	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-43.558775	170.917691	100.0						2016-11-05T15:46	5	11	2016	2484583	2484583	HUMAN_OBSERVATION	iNaturalist	Observations	5138583		Kerry Weston	2017-02-20T00:49:10	CC_BY_NC_4_0	Kerry Weston	Kerry Weston			2024-09-21T09:11:21.896Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
1453360934	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://naturewatch.org.nz/observations/4963973	Animalia	Chordata	Aves	Passeriformes	Acanthisittidae	Xenicus	Xenicus gilviventris		SPECIES	Xenicus gilviventris Pelzeln, 1867	Xenicus gilviventris		NZ		West Coast	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-43.156074	170.888948	27537.0						2017-01-08	8	1	2017	2484583	2484583	HUMAN_OBSERVATION	iNaturalist	Observations	4963973		hamishsutton	2017-01-17T23:06:14	CC_BY_NC_4_0	hamishsutton	hamishsutton			2024-09-21T08:44:57.803Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
1453360914	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://naturewatch.org.nz/observations/4963900	Animalia	Chordata	Aves	Passeriformes	Acanthisittidae	Xenicus	Xenicus gilviventris		SPECIES	Xenicus gilviventris Pelzeln, 1867	Xenicus gilviventris		NZ		West Coast	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-43.116257	170.926628	27537.0						2017-01-10	10	1	2017	2484583	2484583	HUMAN_OBSERVATION	iNaturalist	Observations	4963900		hamishsutton	2017-01-17T22:48:27	CC_BY_NC_4_0	hamishsutton	hamishsutton			2024-09-21T09:12:10.952Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
1411558233	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS411613577	Animalia	Chordata	Aves	Passeriformes	Acanthisittidae	Xenicus	Xenicus gilviventris		SPECIES	Xenicus gilviventris Pelzeln, 1867	Xenicus gilviventris		NZ	Mount Cook National Park (use specific sites if possible)	Canterbury	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	-43.737522	170.10252							2002-11-14	14	11	2002	2484583	2484583	HUMAN_OBSERVATION	CLO	EBIRD	OBS411613577				CC_BY_4_0		obsr772799			2024-04-17T09:06:50.704Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
1410463393	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS395232709	Animalia	Chordata	Aves	Passeriformes	Acanthisittidae	Xenicus	Xenicus gilviventris		SPECIES	Xenicus gilviventris Pelzeln, 1867	Xenicus gilviventris		NZ	Upper Gertrude Valley	Southland	PRESENT	4	e2e717bf-551a-4917-bdc9-4fa0f342c530	-44.75587	168.0166							2012-03-03	3	3	2012	2484583	2484583	HUMAN_OBSERVATION	CLO	EBIRD	OBS395232709				CC_BY_4_0		obsr750491			2024-04-17T08:24:36.253Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
1409536541	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS385554551	Animalia	Chordata	Aves	Passeriformes	Acanthisittidae	Xenicus	Xenicus gilviventris		SPECIES	Xenicus gilviventris Pelzeln, 1867	Xenicus gilviventris		NZ	Fiordland NP--east Homer Tunnel	Southland	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	-44.7642	167.9869							2005-12-03	3	12	2005	2484583	2484583	HUMAN_OBSERVATION	CLO	EBIRD	OBS385554551				CC_BY_4_0		obsr2808			2024-04-17T08:24:42.300Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
1409510805	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS385844750	Animalia	Chordata	Aves	Passeriformes	Acanthisittidae	Xenicus	Xenicus gilviventris		SPECIES	Xenicus gilviventris Pelzeln, 1867	Xenicus gilviventris		NZ	Fiordland NP--east Homer Tunnel	Southland	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	-44.7642	167.9869							2005-12-04	4	12	2005	2484583	2484583	HUMAN_OBSERVATION	CLO	EBIRD	OBS385844750				CC_BY_4_0		obsr2808			2024-04-17T08:46:55.751Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
1407925105	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS378785090	Animalia	Chordata	Aves	Passeriformes	Acanthisittidae	Xenicus	Xenicus gilviventris		SPECIES	Xenicus gilviventris Pelzeln, 1867	Xenicus gilviventris		NZ	Homer Tunnel Parking Area, Milford Sound Highway, Fiordland Nati	Southland	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	-44.76462	167.98932							2015-11-01	1	11	2015	2484583	2484583	HUMAN_OBSERVATION	CLO	EBIRD	OBS378785090				CC_BY_4_0		obsr105910			2024-04-17T09:08:16.357Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
