GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS2353541835	2024-07-30 17:08:10.691304	12976	species	avibase-19420218	South Island Wren	Xenicus gilviventris				2					New Zealand	NZ	West Coast	NZ-WTC	Westland District	NZ-WTC-057				blkCV33	Aciphylla ACIPHYLLA14	L35328804	P	-43.2880890	170.7209160	2024-01-31		obsr6143070	S189583404	Incidental	P20	EBIRD_ATL_NZ				1	0		0	1	0		Aciphylla2024 1080_treeline+trap_beech		
URN:CornellLabOfOrnithology:EBIRD:OBS2353541868	2024-07-30 17:08:10.80226	12976	species	avibase-19420218	South Island Wren	Xenicus gilviventris				1					New Zealand	NZ	West Coast	NZ-WTC	Westland District	NZ-WTC-057				blkCV33	Aciphylla ACIPHYLLA19	L35328807	P	-43.2872658	170.7169056	2024-01-31		obsr6143070	S189583438	Incidental	P20	EBIRD_ATL_NZ				1	0		0	1	0		Aciphylla2024 1080_treeline_beech		
URN:CornellLabOfOrnithology:EBIRD:OBS2353542885	2024-07-30 17:08:15.948585	12976	species	avibase-19420218	South Island Wren	Xenicus gilviventris				2					New Zealand	NZ	West Coast	NZ-WTC	Westland District	NZ-WTC-057				blkCT36	Hokitika River HOKI11	L35329011	P	-43.0992990	171.1078140	2024-01-24		obsr6143070	S189584314	Incidental	P20	EBIRD_ATL_NZ				1	0		0	1	0		Hokitika River2024 1080_tops_beech		
URN:CornellLabOfOrnithology:EBIRD:OBS2353541766	2024-07-30 17:08:10.421438	12976	species	avibase-19420218	South Island Wren	Xenicus gilviventris				1					New Zealand	NZ	West Coast	NZ-WTC	Westland District	NZ-WTC-057				blkDA27	Troyte TROYTE13	L35328792	P	-43.7417640	169.9058320	2024-01-30		obsr6143070	S189583334	Incidental	P20	EBIRD_ATL_NZ				1	0		0	1	0		Troyte2024 1080_tops+trap_beech		
URN:CornellLabOfOrnithology:EBIRD:OBS2353542881	2024-07-30 17:08:15.9345	12976	species	avibase-19420218	South Island Wren	Xenicus gilviventris				2					New Zealand	NZ	West Coast	NZ-WTC	Westland District	NZ-WTC-057				blkCQ40	Mt Barron BARRON10	L35329010	P	-42.8454210	171.5300190	2024-01-25		obsr6143070	S189584310	Incidental	P20	EBIRD_ATL_NZ				1	0		0	1	0		Mt Barron2024 Island		
URN:CornellLabOfOrnithology:EBIRD:OBS2353543018	2024-07-30 17:08:16.414053	12976	species	avibase-19420218	South Island Wren	Xenicus gilviventris				2					New Zealand	NZ	West Coast	NZ-WTC	Westland District	NZ-WTC-057				blkCQ40	Mt Barron BARRON18	L35329065	P	-42.8372150	171.5243972	2024-01-24		obsr6143070	S189584448	Incidental	P20	EBIRD_ATL_NZ				1	0		0	1	0		Mt Barron2024 Island		
URN:CornellLabOfOrnithology:EBIRD:OBS2353543024	2024-07-30 17:08:16.433717	12976	species	avibase-19420218	South Island Wren	Xenicus gilviventris				1					New Zealand	NZ	West Coast	NZ-WTC	Westland District	NZ-WTC-057				blkCQ40	Mt Barron BARRON2	L35329068	P	-42.8463740	171.5415120	2024-01-24		obsr6143070	S189584454	Incidental	P20	EBIRD_ATL_NZ				1	0		0	1	0		Mt Barron2024 control_beech		
URN:CornellLabOfOrnithology:EBIRD:OBS2353541867	2024-07-30 17:08:10.799348	12976	species	avibase-19420218	South Island Wren	Xenicus gilviventris				3					New Zealand	NZ	West Coast	NZ-WTC	Westland District	NZ-WTC-057				blkCV33	Aciphylla ACIPHYLLA19	L35328807	P	-43.2872658	170.7169056	2024-01-30		obsr6143070	S189583437	Incidental	P20	EBIRD_ATL_NZ				1	0		0	1	0		Aciphylla2024 1080_treeline_beech		
URN:CornellLabOfOrnithology:EBIRD:OBS2353541639	2024-07-30 17:08:09.939581	12976	species	avibase-19420218	South Island Wren	Xenicus gilviventris				1					New Zealand	NZ	West Coast	NZ-WTC	Westland District	NZ-WTC-057				blkDC23	Zeilian Creek Z13	L35328772	P	-43.8720310	169.4970810	2024-01-16		obsr6143070	S189583207	Incidental	P20	EBIRD_ATL_NZ				1	0		0	1	0		Zeilian Creek2024 traponly_beech		
URN:CornellLabOfOrnithology:EBIRD:OBS2353543032	2024-07-30 17:08:16.461812	12976	species	avibase-19420218	South Island Wren	Xenicus gilviventris				1					New Zealand	NZ	West Coast	NZ-WTC	Westland District	NZ-WTC-057				blkCT36	Hokitika River HOKI6	L35329076	P	-43.0958810	171.1104940	2024-01-26		obsr6143070	S189584462	Incidental	P20	EBIRD_ATL_NZ				1	0		0	1	0		Hokitika River2024 1080_tops_beech		
