POLITICAL_UNIT,NAME,WGMS_ID,YEAR,TIME_SYSTEM,BEGIN_PERIOD,END_WINTER,END_PERIOD,ELA_PREFIX,ELA,ELA_UNC,MIN_SITES_ACC,MAX_SITES_ACC,MIN_SITES_ABL,MAX_SITES_ABL,ACC_AREA,ACC_AREA_UNC,ABL_AREA,ABL_AREA_UNC,AAR,INVESTIGATOR,SPONS_AGENCY,REFERENCE,REMARKS
AT,GOLDBERG K.,1305,2021,FLO,20200922,20210425,20210914,,2850.0,50.0,19,,13,,0.3289,0.05,0.6115,0.05,35.0,Bernhard Hynek,ZAMG,,
AT,GOLDBERG K.,1305,2022,COM,20210913,20220429,20220914,>,3100.0,,0,0,5,10,0.0,0.0,0.9591,0.0,0.0,"Bernhard Hynek, Anton Neureiter",ZAMG,,
AT,HALLSTAETTER G.,535,2007,,,,,,2581.0,,,,,,1.49,,1.551,,49.0,"Stocker-Waldhuber Martin, Fischer Andrea, Reingruber Klaus, Helfricht Kay","Institut of Interdisciplionary Mountain Research, Austrian Academy of Sciences, Technikerstrasse 25, A-6020 Innsbruck, Austria",,
AT,HALLSTAETTER G.,535,2008,,,,,,2592.0,,,,,,1.49,,1.551,,49.0,"Stocker-Waldhuber Martin, Fischer Andrea, Reingruber Klaus, Helfricht Kay","Institut of Interdisciplionary Mountain Research, Austrian Academy of Sciences, Technikerstrasse 25, A-6020 Innsbruck, Austria",,
AT,HALLSTAETTER G.,535,2009,,,,,,2616.0,,,,,,1.029,,1.986,,34.0,"Stocker-Waldhuber Martin, Fischer Andrea, Reingruber Klaus, Helfricht Kay","Institut of Interdisciplionary Mountain Research, Austrian Academy of Sciences, Technikerstrasse 25, A-6020 Innsbruck, Austria",,
AT,HALLSTAETTER G.,535,2010,,,,,,2588.0,,,,,,1.456,,1.56,,48.0,"Stocker-Waldhuber Martin, Fischer Andrea, Reingruber Klaus, Helfricht Kay","Institut of Interdisciplionary Mountain Research, Austrian Academy of Sciences, Technikerstrasse 25, A-6020 Innsbruck, Austria",,
AT,HALLSTAETTER G.,535,2011,,,,,,2822.0,,,,,,0.138,,2.879,,5.0,"Stocker-Waldhuber Martin, Fischer Andrea, Reingruber Klaus, Helfricht Kay","Institut of Interdisciplionary Mountain Research, Austrian Academy of Sciences, Technikerstrasse 25, A-6020 Innsbruck, Austria",,
AT,HALLSTAETTER G.,535,2012,,,,,,2664.0,,,,,,0.958,,2.058,,32.0,"Stocker-Waldhuber Martin, Fischer Andrea, Reingruber Klaus, Helfricht Kay","Institut of Interdisciplionary Mountain Research, Austrian Academy of Sciences, Technikerstrasse 25, A-6020 Innsbruck, Austria",WGMS (2015): GGCB No. 1 (2012-2013).,
AT,HALLSTAETTER G.,535,2013,FXD,20121001,20130430,20130930,,2584.0,,,,,,1.392,,1.624,,46.0,Lea Hartl,Federal Government of Upper Austria,"Hartl, Lea; Stocker-Waldhuber, Martin; Fischer, Andrea; Reingruber, Klaus; Helfricht, Kay (2014): Glacier mass balance Hallstätter Gletscher, Dachstein, Austria, 2012/2013. doi:10.1594/PANGAEA.833221",
AT,HALLSTAETTER G.,535,2014,FXD,20131001,20140430,20140930,,2551.0,,,,,,1.604,,1.231,,56.0,"Hartl, Lea; Stocker-Waldhuber, Martin; Fischer, Andrea; Reingruber, Klaus; Helfricht, Kay","Energie AG Oberösterreich, Land Oberösterreich Böhmerwaldstrasse 3 Umwelt, Energie, Wasser und KonsumentInnenschutz",http://doi.pangaea.de/10.1594/PANGAEA.833227,
AT,HALLSTAETTER G.,535,2015,FXD,20141001,20150430,20150930,>,2900.0,,,,,,0.05,,2.79,,2.0,"Lea Hartl, Klaus Reingruber","Land Oberösterreich, Energie AG",http://doi.pangaea.de/10.1594/PANGAEA.806609,ELA above summit
AT,HALLSTAETTER G.,535,2016,FXD,20151001,20160430,20160930,,2646.0,,,,,,0.947,,1.888,,33.0,"Lea Hartl, Klaus Reingruber","Land Oberösterreich, Energie AG",http://doi.pangaea.de/10.1594/PANGAEA.806609,
AT,HALLSTAETTER G.,535,2017,,20161001,20170430,20170930,,2644.0,,,,,,0.678,,2.156,,24.0,"Lea Hartl, Klaus Reingruber, Kay Helfricht","Land Oberösterreich, Energie AG","Hartl, L. et al. (2017); https://doi.pangaea.de/10.1594/PANGAEA.886086",
AT,HALLSTAETTER G.,535,2018,,20171001,20180430,20180930,,2808.0,,,,,,0.3,,2.54,,11.0,"Kay Helfricht, Klaus Reingruber","Land Oberösterreich, Energie AG",https://doi.org/10.1594/PANGAEA.897929,
AT,HALLSTAETTER G.,535,2019,FXD,20181001,20190430,20190930,,2580.0,,,,,,1.23,,1.407,,46.0,"Kay Helfricht, Klaus Reingruber","Land Oberösterreich, Energie AG",https://doi.pangaea.de/10.1594/PANGAEA.917609,
AT,HALLSTAETTER G.,535,2020,FXD,20191001,20200430,20200930,,2812.0,,,,,,0.363,,2.26,,14.0,"Kay Helfricht, Klaus Reingruber","Land Oberösterreich, Energie AG",https://doi.pangaea.de/10.1594/PANGAEA.917609,
AT,HALLSTAETTER G.,535,2021,FXD,20201001,20210430,20210930,>,,,,,,,0.0,,2.449,,0.0,"Kay Helfricht, Klaus Reingruber","Land Oberösterreich, Energie AG",https://doi.pangaea.de/10.1594/PANGAEA.940164,
AT,HALLSTAETTER G.,535,2022,FXD,20211001,20220430,20220930,>,,,,,,,0.0,,2.449,,0.0,"Kay Helfricht, Klaus Reingruber",,https://doi.pangaea.de/10.1594/PANGAEA.955656,
AT,HALLSTAETTER G.,535,2023,FXD,20221001,20230430,20230930,,,,,,,,,,,,,"Kay Helfricht, Klaus Reingruber",,,
AT,HINTEREIS F.,491,1953,,,,,,3020.0,,,,,,,,,,53.0,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 30, 95, 96] For detailed reference information consult Dyurgerov's Appendix 1!",
AT,HINTEREIS F.,491,1954,,,,,,2970.0,,,,,,,,,,69.0,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 30, 95, 96] For detailed reference information consult Dyurgerov's Appendix 1!",
AT,HINTEREIS F.,491,1955,,,,,,2850.0,,,,,,,,,,75.0,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 30, 95, 96] For detailed reference information consult Dyurgerov's Appendix 1!",
AT,HINTEREIS F.,491,1956,,,,,,2920.0,,,,,,,,,,69.0,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 30, 95, 96] For detailed reference information consult Dyurgerov's Appendix 1!",
AT,HINTEREIS F.,491,1957,,,,,,2930.0,,,,,,,,,,65.0,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 30, 95, 96] For detailed reference information consult Dyurgerov's Appendix 1!",
AT,HINTEREIS F.,491,1958,,,,,,3100.0,,,,,,,,,,35.0,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 30, 95, 96] For detailed reference information consult Dyurgerov's Appendix 1!",
AT,HINTEREIS F.,491,1959,,,,,,3060.0,,,,,,,,,,34.0,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 30, 95, 96] For detailed reference information consult Dyurgerov's Appendix 1!",
AT,HINTEREIS F.,491,1960,,,,,,2880.0,,,,,,,,,,72.0,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 30, 95, 96] For detailed reference information consult Dyurgerov's Appendix 1!",
AT,HINTEREIS F.,491,1961,,,,,,2940.0,,,,,,,,,,63.0,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 30, 95, 96] For detailed reference information consult Dyurgerov's Appendix 1!",
AT,HINTEREIS F.,491,1962,,,,,,3080.0,,,,,,,,,,39.0,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 30, 95, 96] For detailed reference information consult Dyurgerov's Appendix 1!",
